Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,RTK,Zone,Letter,actUTMN,actUTME
1665096471.0518525,0,82071,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096472.0296233,0,82072,0,GPS1_Frame,42.338264166666676,-71.08651,27.4,328114.80061712745,4689442.799991886,4,19,T,4689434.40,328121.11
1665096473.0487907,0,82073,0,GPS1_Frame,42.338264166666676,-71.08651016666666,27.4,328114.7868866741,4689442.800328799,4,19,T,4689434.40,328121.11
1665096474.0261004,0,82074,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096475.0525386,0,82075,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096476.0283153,0,82076,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096477.0520744,0,82077,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096478.0286841,0,82078,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096479.0532382,0,82079,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096480.0264626,0,82080,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096481.0505993,0,82081,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096482.0274158,0,82082,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096483.0504477,0,82083,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096484.0277224,0,82084,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096485.0501723,0,82085,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096486.0291343,0,82086,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096487.049394,0,82087,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096488.0274713,0,82088,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
1665096489.054828,0,82089,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096490.0271866,0,82090,0,GPS1_Frame,42.338263999999995,-71.08651016666666,27.4,328114.7864325545,4689442.781821734,4,19,T,4689434.40,328121.11
1665096491.0447605,0,82091,0,GPS1_Frame,42.338263999999995,-71.08651,27.4,328114.8001630078,4689442.781484822,4,19,T,4689434.40,328121.11
